item_id,item_name,inventory_count,sold_count,item_description,retail_price,vendor_price,vendor_id
3001,Home Improvement Gear,24,24,"Fusce lorem est, molestie ut dictum id, pretium vel odio",35,0,770001
3002,Truck Attachment,31,31,Etiam maximus blandit lacinia,115.99,0,770222
3003,Engine Gear,20,20,"Proin interdum, nibh tincidunt varius facilisis, libero ante maximus urna, nec pulvinar tortor elit in diam",76,0,779999
3004,Home Improvement Device,36,36,"Cras mauris orci, ornare in ex sed, dapibus semper mauris",67.99,0,770003
3005,Kitchen Accessory,42,42,Vestibulum eu lacus eget massa dignissim efficitur vitae malesuada leo,57.95,0,770002
3006,First Aid Tool,53,53,"Maecenas mollis metus metus, ut molestie orci interdum ac",153.95,0,770001
3007,Womens Apparatus,50,50,Nunc pretium elit non felis placerat placerat,67,0,770222
3008,Personal Tool,44,44,"Vivamus at augue scelerisque, bibendum est vel, aliquam ligula",88.99,0,779999
3009,Book Mechanism,56,56,Fusce eget orci non sapien gravida sagittis,77.99,0,770003
3010,Kids Doodad,41,41,"Proin auctor urna sed erat lacinia, et aliquam lacus hendrerit",105.95,0,770002
3011,Bedding Contraption,70,70,Ut non nisi felis,185,0,770001
3012,Biking Item,19,19,Nunc pretium nisi aliquam rutrum elementum,197.95,0,770222
3013,Kitchen Gear,54,54,Maecenas ac mollis sem.,177.99,0,779999
3014,Car Widget,31,31,Mauris eget ullamcorper nibh.,100,0,770003
3015,Gardening Machine,0,20,Sed interdum et tortor ut laoreet,109.99,0,770002
3016,First Aid Attachment,31,31,"Aenean dignissim urna et ante ullamcorper, eget finibus lorem feugiat",69.95,0,770001
3017,Biking Doodad,38,38,"Duis sed sem posuere, malesuada nibh eget, scelerisque sem",162.99,0,770222
3018,Book Accessory,41,41,Mauris interdum vitae quam ac ornare,107,0,779999
3019,Hair Care Doodad,47,47,Phasellus dignissim risus vitae tellus elementum convallis,81.95,0,770003
3020,Storage Apparatus,62,62,Integer semper sed massa in sodales,132.99,0,770002
3021,Tire Component,43,43,"Quisque sit amet nunc euismod, faucibus arcu sit amet, sollicitudin mi",44,0,770001
3022,Camera Accessory,57,57,"Integer tellus nisi, auctor ut sapien id, eleifend ultricies nisl",20,0,770222
3023,Cooking Widget,41,41,Proin in neque vel lorem tincidunt laoreet eget faucibus est,85,0,779999
3024,Fitness Rig,58,58,"In ullamcorper augue massa, tincidunt interdum mauris pulvinar non",120.95,0,770003
3025,Baby Gizmo,45,45,"Vivamus id blandit lectus, eget vehicula nulla",31.95,0,770002
3026,Beach Equipment,35,35,Cras pharetra iaculis urna porttitor vestibulum,13,0,770001
3027,Book Attachment,46,46,"Nunc ligula mi, scelerisque vitae lobortis vitae, blandit a dolor",104.95,0,770222
3028,Music Whatchamacallit,29,29,"Mauris ipsum dui, tempor sit amet ligula vel, sollicitudin malesuada est",166.99,0,779999
3029,Medicine Implement,27,27,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Phasellus malesuada tempor odio, sed imperdiet sapien",22,0,770003
3030,Baby Attachment,29,29,Cras at semper elit.,40.95,0,770002
3031,Medicine Attachment,59,59,"Nulla ut laoreet massa, pretium tincidunt quam.",13.95,0,770001
3032,Camping Item,34,34,Nullam iaculis sed tellus fringilla pellentesque,104.99,0,770222
3033,Toy Equipment,68,68,"Donec lectus elit, gravida sit amet elit in, feugiat auctor dui",197.95,0,779999
3034,Medicine Doodad,34,34,Sed id convallis tellus,192.99,0,770003
3035,Swimming Item,31,31,Donec tempus maximus purus et ultricies,185.99,0,770002
3036,Cleaning Kit,27,27,"Donec non feugiat quam, et vestibulum felis",105.95,0,770001
3037,Medicine Rig,68,68,"Quisque tincidunt ligula in est lacinia, non malesuada risus semper",103.99,0,770222
3038,Makeup Contraption,27,27,Aliquam dapibus et lectus id tincidunt,108.95,0,779999
3039,Baby Thingamajig,59,59,"Sed tellus est, iaculis quis justo vitae, fringilla consectetur nibh",162.95,0,770003
3040,Tire Apparatus,45,45,Nulla cursus dignissim risus et vulputate,83.95,0,770002
3041,Fitness Component,51,51,Pellentesque quis mollis tortor,148.95,0,770001
3042,Book Instrument,77,77,"Mauris at fringilla augue, nec varius nibh",69,0,770222
3043,Technology Widget,43,43,Pellentesque vel suscipit metus.,66.99,0,779999
3044,Party Contraption,26,26,"Integer ut vehicula odio, eget rhoncus tellus",32,0,770003
3045,Truck Kit,58,58,Pellentesque ac risus consequat orci congue malesuada in nec mi,140.99,0,770002
3046,Cooking Contraption,76,76,Integer accumsan rutrum risus vel dictum,130.99,0,770001
3047,Hair Care Equipment,18,18,In hac habitasse platea dictumst,34.95,0,770222
3048,Outdoors Apparatus,74,74,Aenean vitae consequat elit,167.95,0,779999
3049,Storage Paraphernalia,37,37,"Etiam ut feugiat magna, ac consectetur eros",101.95,0,770003
3050,Kitchen Device,61,61,"Nam accumsan, risus sit amet finibus tristique, nibh libero efficitur dolor, vel lobortis tortor ligula sed nunc",113.95,0,770002
3051,Hair Care Instrument,65,65,"Integer et urna laoreet, ullamcorper dui faucibus, ullamcorper dui",155,0,770001
3052,Game Item,72,72,"Fusce elit mi, tincidunt quis nisl commodo, ultrices ornare sem",108.99,0,770222
3053,Outdoors Thingamajig,72,72,Interdum et malesuada fames ac ante ipsum primis in faucibus,79,0,779999
3054,Phone Gear,36,36,Integer posuere nulla egestas dignissim faucibus,148.99,0,770003
3055,Womens Gear,58,58,"Nullam viverra elit lectus, ac pellentesque lorem porttitor vulputate",173.99,0,770002
3056,Kids Attachment,27,27,"Quisque bibendum fermentum sapien, id volutpat ex imperdiet vel",109.99,0,770001
3057,Camping Rig,36,36,Proin vitae ligula ut enim gravida viverra,90.99,0,770222
3058,Beach Doodad,54,54,Quisque nec imperdiet lectus,17,0,779999
3059,Book Machine,59,59,Donec non lectus quis tellus ultrices cursus,181.99,0,770003
3060,Tire Gizmo,59,59,"Nulla vestibulum fringilla nulla, eget ornare urna hendrerit quis",193.95,0,770002
3061,Bedding Supplies,25,25,"Vivamus at augue scelerisque, bibendum est vel, aliquam ligula",163.95,0,770001
3062,Engine Gear,22,22,Proin semper efficitur nulla nec egestas,115.95,0,770222
3063,Personal Gear,36,36,"Integer ligula leo, blandit ut lorem tempus, eleifend convallis odio",11.99,0,779999
3064,Outdoors Contraption,23,23,Morbi sed mauris tellus,28,0,770003
3065,Music Equipment,18,18,In iaculis in risus condimentum rhoncus,16,0,770002
3066,Storage Component,75,75,Curabitur non nisl at tortor elementum condimentum,199.99,0,770001
3067,Truck Tool,51,51,Proin in neque vel lorem tincidunt laoreet eget faucibus est,97.99,0,770222
3068,Furniture Component,59,59,"Suspendisse id finibus orci, a vehicula nibh",115.95,0,779999
3069,Gardening Apparatus,65,65,Ut sit amet eros orci,28.95,0,770003
3070,Movie Machine,56,56,"Phasellus diam felis, vestibulum in ornare et, euismod et dolor",167.99,0,770002
3071,Biking Contraption,32,32,Ut dapibus ut odio sit amet vehicula,164.99,0,770001
3072,Movie Rig,45,45,"Proin vulputate pulvinar quam, aliquet iaculis eros pellentesque ac",121,0,770222
3073,First Aid Implement,28,28,Quisque sagittis lectus lacinia orci aliquet sollicitudin,19,0,779999
3074,Kids Tool,76,76,Nulla rutrum volutpat porta,87.99,0,770003
3075,Mens Whatchamacallit,22,22,Curabitur rhoncus ultricies laoreet,148.99,0,770002
3076,Aquarium Accessory,0,58,Donec pellentesque magna sed elementum hendrerit,156.99,0,770001
3077,Computer Equipment,70,70,"Praesent ante tortor, auctor in eleifend a, ornare vitae odio",59.99,0,770222
3078,Dining Machine,54,54,Nunc nec felis leo,30,0,779999
3079,Music Contraption,49,49,Pellentesque quis mollis tortor,119.95,0,770003
3080,Swimming Attachment,55,55,"Donec accumsan sapien vel nulla tristique, id convallis risus commodo",169.99,0,770002
3081,Home Improvement Gear,29,29,Etiam maximus blandit lacinia,10.95,0,770001
3082,Nutrition Attachment,51,51,Aliquam id tortor eu nulla bibendum pellentesque,30.95,0,770222
3083,Kitchen Attachment,74,74,Proin et cursus mauris,143.95,0,779999
3084,Furniture Implement,32,32,Nulla non nibh ante,104.95,0,770003
3085,Car Contraption,76,76,"In magna sem, tincidunt ultrices efficitur rutrum, facilisis sit amet nibh",192.95,0,770002
3086,Phone Thingamajig,71,71,Curabitur tempus sed mi eget pretium,199.99,0,770001
3087,Aquarium Kit,46,46,Suspendisse faucibus volutpat lacus quis auctor,38.99,0,770222
3088,Beach Gear,61,61,Curabitur fringilla lacus ac lacus dignissim condimentum mollis in est,188.99,0,779999
3089,First Aid Gadget,28,28,"Pellentesque dictum neque purus, non cursus enim venenatis vitae",110.99,0,770003
3090,Engine Item,47,47,Aliquam dapibus et lectus id tincidunt,124.95,0,770002
3091,Furniture Instrument,32,32,Nulla id mi quis lorem malesuada gravida.,103.99,0,770001
3092,Baby Doodad,29,29,Integer ultricies viverra ipsum id luctus,78.99,0,770222
3093,Hair Care Contraption,43,43,In sed lacus ac mi placerat congue,188.99,0,779999
3094,Bedding Instrument,24,24,"Curabitur dapibus ultricies felis, vel ullamcorper erat ultrices eu.",155.95,0,770003
3095,Computer Instrument,46,46,Mauris vel tincidunt risus,184.99,0,770002
3096,Party Apparatus,57,57,Proin rutrum sodales lacinia,80,0,770001
3097,Fitness Machine,53,53,"Nullam quis sem placerat, dictum massa sit amet, rhoncus dolor",50.95,0,770222
3098,Kitchen Instrument,71,71,Etiam ac tempus felis,191.99,0,779999
3099,Personal Gadget,68,68,Quisque nec libero odio,179.99,0,770003
3100,Dining Supplies,33,33,Vivamus suscipit dolor in nisi dapibus fermentum,115.99,0,770002
3101,Home Improvement Equipment,54,54,In scelerisque hendrerit sem ac mollis,34,0,770001
3102,Dining Gadget,56,56,Donec pharetra sem congue elementum venenatis,187,0,770222
3103,Personal Mechanism,43,43,Cras nec turpis eu enim vestibulum condimentum eu eget nunc,174.99,0,779999
3104,Hair Care Accessory,52,52,"Nulla neque tellus, ultrices non consequat vitae, vehicula vulputate orci",47.99,0,770003
3105,Hair Care Paraphernalia,31,31,Nulla vestibulum maximus justo eget efficitur,178,0,770002
3106,Baby Supplies,23,23,"Sed purus urna, egestas ac dolor vehicula, cursus mattis turpis",141.99,0,770001
3107,Gardening Gear,40,40,"Donec interdum, lorem consectetur condimentum mollis, mauris sem pretium turpis, sed faucibus magna tortor a erat.",93,0,770222
3108,Biking Accessory,62,62,"Nullam et malesuada justo, ac scelerisque libero",35.99,0,779999
3109,Toy Implement,74,74,Nulla eu justo lorem.,13.99,0,770003
3110,Truck Item,34,34,"Aliquam rutrum est est, vitae semper nisi sodales vitae",184,0,770002
3111,Kitchen Component,73,73,"Donec euismod tincidunt arcu, sit amet euismod purus placerat non",174.95,0,770001
3112,Fitness Doodad,45,45,Sed nec dictum sem,170.99,0,770222
3113,Engine Gear,46,46,"Duis suscipit, odio convallis luctus pulvinar, urna turpis vehicula urna, et pulvinar dolor justo id lacus",122.99,0,779999
3114,Cooking Paraphernalia,62,62,Vivamus in est et elit dignissim dignissim,37.99,0,770003
3115,Swimming Equipment,66,66,Nullam venenatis auctor magna quis cursus,192.99,0,770002
3116,Personal Component,67,67,"Sed volutpat porttitor arcu, ac condimentum ligula",61,0,770001
3117,Beach Gadget,44,44,In eget dolor non metus fermentum scelerisque.,26.99,0,770222
3118,Storage Tool,34,34,"Curabitur ex nibh, ullamcorper ut sollicitudin eget, lacinia eget dolor.",47.95,0,779999
3119,Womens Component,59,59,Donec venenatis tincidunt eros nec volutpat,70.95,0,770003
3120,Phone Implement,77,77,Aliquam eleifend imperdiet volutpat,115.95,0,770002
3121,Womens Kit,20,20,Vestibulum quis accumsan turpis,106.95,0,770001
3122,Home Improvement Accessory,59,59,Nunc dignissim maximus varius,87.99,0,770222
